wall,step,val
1598634871.566671,0,60.0
1598634873.756036,1,72.5
1598634875.922272,2,0.0
1598634878.07643,3,100.0
1598634880.253843,4,0.0
1598634882.373973,5,0.0
1598634884.550794,6,80.0
1598634886.74126,7,65.0
1598634888.879933,8,81.66665649414062
1598634891.061015,9,75.0
1598634893.190344,10,76.0
1598634895.353574,11,0.0
1598634897.57066,12,69.99999237060547
1598634899.682606,13,67.5
1598634901.854892,14,75.0
1598634904.009335,15,81.4285659790039
1598634906.172744,16,81.25
1598634908.377589,17,69.99999237060547
1598634910.522917,18,76.66668701171875
1598634912.748508,19,76.66666412353516
1598634914.837199,20,65.0
1598634917.014328,21,0.0
1598634919.114183,22,76.66668701171875
1598634921.319174,23,78.33332824707031
1598634923.48901,24,84.28571319580078
1598634925.635009,25,80.0
1598634927.788354,26,93.33334350585938
1598634929.964743,27,70.0
1598634932.113096,28,77.5
1598634934.279229,29,0.0
1598634936.429843,30,76.66668701171875
1598634938.566052,31,75.0
1598634940.724708,32,73.75
1598634942.856832,33,76.66666412353516
1598634944.96841,34,86.66667175292969
1598634947.109784,35,0.0
1598634949.258112,36,92.5
1598634951.473628,37,82.0
1598634953.66565,38,80.0
1598634955.916925,39,65.0
1598634958.128341,40,81.11114501953125
1598634960.243331,41,79.99999237060547
1598634962.349219,42,89.9999771118164
1598634964.500754,43,85.0
1598634966.637163,44,0.0
1598634968.78301,45,80.0
1598634970.885605,46,85.71428680419922
1598634973.059235,47,60.0
1598634975.221033,48,0.0
1598634977.352748,49,90.0
1598634979.56423,50,96.66667938232422
1598634981.66851,51,81.4285659790039
1598634983.782426,52,95.0
1598634985.864078,53,88.0
1598634988.034119,54,80.0
1598634990.199962,55,100.0
1598634992.437372,56,100.0
1598634994.678576,57,84.99998474121094
1598634996.8543,58,100.0
1598634999.032243,59,94.0
1598635001.196547,60,100.0
1598635003.388623,61,81.25
1598635005.525236,62,86.0
1598635007.698824,63,0.0
1598635009.858097,64,81.11114501953125
1598635012.009867,65,93.33334350585938
1598635014.196011,66,90.0
1598635016.318738,67,100.0
1598635018.454514,68,87.5
1598635020.573581,69,100.0
1598635022.785603,70,0.0
1598635024.898971,71,81.25
1598635027.070072,72,87.14286041259766
1598635029.23647,73,100.0
1598635031.368138,74,100.00001525878906
1598635033.500199,75,0.0
1598635035.593081,76,78.75
1598635037.697952,77,90.00000762939453
1598635039.818777,78,81.11114501953125
1598635041.877475,79,80.0
1598635044.042581,80,100.0
1598635046.187984,81,89.9999771118164
1598635048.351326,82,81.11114501953125
1598635050.538218,83,100.0
1598635052.780531,84,87.5
1598635054.89061,85,100.0
1598635057.052648,86,90.0
1598635059.25603,87,92.5
1598635061.494074,88,80.00003051757812
1598635063.660777,89,87.5
1598635065.804742,90,75.55557250976562
1598635068.002042,91,95.0
1598635070.159486,92,89.9999771118164
1598635072.319529,93,85.0
1598635074.485561,94,96.66667938232422
1598635076.60889,95,96.66667938232422
1598635078.767254,96,100.00001525878906
1598635080.96684,97,88.5714340209961
1598635083.171815,98,0.0
1598635085.35904,99,0.0
1598635087.456117,100,0.0
1598635089.610133,101,100.0
1598635091.828114,102,82.5
1598635093.938683,103,88.75
1598635096.081247,104,96.0
1598635098.264427,105,98.0
1598635100.444899,106,100.0
1598635102.585937,107,100.0
1598635104.782993,108,100.00001525878906
1598635106.902258,109,88.75
1598635109.071294,110,83.3333740234375
1598635111.219227,111,100.00001525878906
1598635113.389307,112,83.3333740234375
1598635115.526692,113,97.5
1598635117.653951,114,100.0
1598635119.823118,115,100.00001525878906
1598635122.042573,116,100.00001525878906
1598635124.149124,117,100.00001525878906
1598635126.355179,118,100.0
1598635128.534791,119,100.00001525878906
1598635130.692187,120,96.66667938232422
1598635132.917101,121,87.5
1598635135.053286,122,81.25
1598635137.22199,123,100.0
1598635139.398723,124,0.0
1598635141.527755,125,100.0
1598635143.717251,126,97.5
1598635145.896439,127,91.42858123779297
1598635148.00366,128,88.5714340209961
1598635150.105851,129,86.0
1598635152.208672,130,100.0
1598635154.333353,131,88.75
1598635156.449537,132,100.0
1598635158.581495,133,100.0
1598635160.782931,134,0.0
1598635162.974497,135,88.75
1598635165.099224,136,98.33329772949219
1598635167.217835,137,0.0
1598635169.377388,138,0.0
1598635171.592269,139,94.0
1598635173.734718,140,90.0
1598635175.926074,141,100.00001525878906
1598635178.088782,142,100.0
1598635180.22375,143,100.0
1598635182.398188,144,100.00001525878906
1598635184.529425,145,100.0
1598635186.67198,146,100.00001525878906
1598635188.887022,147,100.0
1598635191.06417,148,100.00001525878906
1598635193.215525,149,100.0
1598635195.346671,150,83.3333740234375
1598635197.480648,151,100.0
1598635199.652915,152,100.00001525878906
1598635201.798207,153,100.0
1598635203.918895,154,100.0
1598635206.071705,155,81.25
1598635208.211344,156,100.0
1598635210.374487,157,84.28571319580078
1598635212.511814,158,76.66668701171875
1598635214.627483,159,99.99996185302734
1598635216.821901,160,100.0
1598635218.976595,161,100.00001525878906
1598635221.135577,162,96.0
1598635223.335523,163,94.28572845458984
1598635225.413555,164,94.28572845458984
1598635227.623025,165,100.0
1598635229.832806,166,100.00001525878906
1598635232.015679,167,100.0
1598635234.199597,168,100.00001525878906
1598635236.345958,169,100.0
1598635238.544948,170,87.14286041259766
1598635240.667996,171,0.0
1598635242.815309,172,100.0
1598635245.003512,173,100.0
1598635247.140764,174,87.5
1598635249.341437,175,100.0
1598635251.537924,176,99.99996185302734
1598635253.656702,177,100.00001525878906
1598635255.845103,178,98.33329772949219
1598635258.034949,179,100.0
1598635260.236646,180,100.0
1598635262.424292,181,100.0
1598635264.576835,182,100.0
1598635266.750353,183,88.75
1598635268.901873,184,0.0
1598635271.056029,185,91.42858123779297
1598635273.19749,186,100.0
1598635275.283876,187,100.0
1598635277.392829,188,100.0
1598635279.527393,189,100.0
1598635281.693843,190,100.0
1598635283.833144,191,0.0
1598635286.044525,192,87.5
1598635288.205863,193,100.00001525878906
1598635290.341038,194,88.33331298828125
1598635292.523068,195,100.0
1598635294.663384,196,99.99996185302734
1598635296.789967,197,0.0
1598635299.001193,198,100.0
1598635301.171545,199,100.00001525878906
1598635303.327188,200,100.0
1598635305.521218,201,100.0
1598635307.634337,202,94.28572845458984
1598635309.775046,203,100.0
1598635311.977389,204,83.3333740234375
1598635314.136131,205,100.0
1598635316.266989,206,100.0
1598635318.41074,207,100.0
1598635320.630552,208,100.00001525878906
1598635322.785986,209,100.0
1598635324.957139,210,100.0
1598635327.11569,211,0.0
1598635329.295283,212,99.99996185302734
1598635331.445009,213,91.25
1598635333.610961,214,100.0
1598635335.843569,215,100.0
1598635337.988891,216,100.0
1598635340.189775,217,100.0
1598635342.355249,218,83.3333740234375
1598635344.463248,219,88.75
1598635346.596595,220,94.99996948242188
1598635348.824036,221,100.00001525878906
1598635350.988776,222,0.0
1598635353.204014,223,100.0
1598635355.297897,224,92.5
1598635357.538225,225,100.0
1598635359.655815,226,94.99996948242188
1598635361.824367,227,95.71430206298828
1598635364.014353,228,99.99996185302734
