wall,step,val
1598624277.592429,0,0.0
1598624278.271882,1,40.0
1598624280.584053,2,94.44451904296875
1598624280.813623,3,0.0
1598624282.172588,4,82.0
1598624283.522524,5,84.0
1598624283.741809,6,0.0
1598624283.964459,7,0.0
1598624284.637119,8,70.0
1598624285.965559,9,88.0
1598624287.56678,10,79.99999237060547
1598624289.387347,11,82.85713958740234
1598624289.61505,12,0.0
1598624290.062541,13,10.0
1598624290.286167,14,0.0
1598624290.740482,15,60.0
1598624292.561869,16,87.14286041259766
1598624294.646374,17,91.25
1598624294.859303,18,0.0
1598624296.87186,19,96.25
1598624297.563769,20,50.0
1598624298.272904,21,70.0
1598624298.962771,22,90.0
1598624300.129589,23,75.0
1598624301.305581,24,80.0
1598624301.812287,25,10.0
1598624303.597458,26,86.6666488647461
1598624305.174194,27,80.0
1598624306.70365,28,78.0
1598624307.739315,29,66.66665649414062
1598624309.537107,30,89.9999771118164
1598624310.803626,31,75.0
1598624312.865997,32,90.00000762939453
1598624314.901371,33,90.00000762939453
1598624315.957974,34,69.99999237060547
1598624316.476163,35,80.0
1598624319.030647,36,93.33340454101562
1598624319.546766,37,80.0
1598624320.85885,38,70.0
1598624321.118887,39,0.0
1598624321.889636,40,60.0
1598624322.146206,41,0.0
1598624324.272604,42,87.14286041259766
1598624326.073281,43,84.99998474121094
1598624327.619919,44,82.0
1598624329.67149,45,90.00000762939453
1598624330.720511,46,86.66667175292969
1598624331.743451,47,69.99999237060547
1598624333.767149,48,88.5714340209961
1598624335.826172,49,88.5714340209961
1598624336.32285,50,100.0
1598624338.625346,51,95.0
1598624339.138533,52,100.0
1598624339.406987,53,0.0
1598624340.49616,54,69.99999237060547
1598624341.038997,55,100.0
1598624343.653607,56,88.88894653320312
1598624343.908794,57,0.0
1598624344.155855,58,0.0
1598624346.783809,59,94.44451904296875
1598624349.141505,60,91.25
1598624351.488042,61,90.0
1598624353.031886,62,86.0
1598624353.81172,63,50.0
1598624354.342282,64,80.0
1598624354.850419,65,80.0
1598624356.889775,66,90.00000762939453
1598624358.165712,67,77.5
1598624359.737148,68,84.0
1598624362.291515,69,96.666748046875
1598624364.603396,70,96.25
1598624366.1284,71,80.0
1598624366.616855,72,100.0
1598624368.950075,73,90.0
1598624369.952675,74,80.0
1598624371.725014,75,79.99999237060547
1598624371.969223,76,0.0
1598624373.280008,77,75.0
1598624374.566108,78,95.0
1598624376.402916,79,91.66664123535156
1598624377.402112,80,96.66667938232422
1598624379.230795,81,89.9999771118164
1598624380.274856,82,96.66667938232422
1598624382.125069,83,91.66664123535156
1598624383.437297,84,82.5
